DistrictID,DistrictName,UpdateTimeStamp,CharterSchoolInd,RegularProgramADA,RegularSpEdADA,MainstreamSpEdADA,ResCareSpEdADA,StateSchoolsSpEdADA,NonPublicContractSpEdADA,ExtYearSpEdADA,RegCTEADA,GTADA,StateCompEdADA,PregnantADA,BilingualADA,PegADA,HighSchoolAllotment,AdvCTEAllotment,EarlyChildIntervSetAside,APTests,NIFA,TransportationAllotment,BilingualAllotmentTot,CompressedMOTaxRate,AdjCEI,SparseDistrictInd,HHMOTaxCollection,HHCEDDistr,HHWADA,HHDPV,MOTaxCollectionLev1,MOTaxCollectionLev3,MOTaxCollectionTot,MOTaxRate,DPV,ASFAmt,TransfersOut,TuitionPaidPerStudent,CADAppraisalCost,CADCreditBalance,CADCreditUnclaimed,BasicAllotmentCheck,AdjustedBasicAllotmentCheck,TierICostCheck,WADACheck,WADACheckCoR,AACheckString,FinalCostLev1Check,FinalCostLev3Check,EarlyAgreementCreditLev1Check,EarlyAgreementCreditLev3Check
057816,A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,2/10/2017 12:41 PM,Y,1964.8990000000003,89.089,11.182,0.0,0.0,0.0,0.0,0.0,0.0,1819.5,0.0,22.825000000000003,0.0,0.0,0.0,($0),($0),0.0,879.0,14756.0,0.0,1.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709462.0,0.0,0.0,0.0,0.0,0.0,5050.0,5334.0,15726802.0,3031.2290000000003,,"Adjusted Allotment:  LPE - $6,465   DPE - $6,465",,0,,0
057829,A+ ACADEMY,2/10/2017 12:41 PM,Y,906.3690000000001,81.65,34.468,0.0,0.0,0.0,0.0,71.629,38.333,900.33,0.0,445.6450000000001,0.0,84552.0,0.0,($0),($0),0.0,0.0,288109.0,0.0,1.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352855.0,0.0,0.0,0.0,0.0,0.0,5050.0,5334.0,8824349.0,1684.6280000000002,,"Adjusted Allotment:  LPE - $6,465   DPE - $6,465",,0,,0
109901,ABBOTT ISD,2/13/2017 11:50 AM,N,224.0,35.0,2.5,0.0,0.0,0.0,0.0,20.0,6.0,85.0,0.0,2.3000000000000003,0.0,23375.0,0.0,"($1,013)",($40),0.0,16410.0,1656.0,1.0,1.06,N,71627.0,1018265.0,255.74639450000004,21777011.0,936180.0,48213.0,1040564.0,1.1115000000000002,90133068.0,97202.0,0.0,0.0,0.0,0.0,0.0,5140.0,5359.0,2247585.0,420.957,,"Adjusted Allotment:  LPE - $7,202   DPE - $7,202",,,,
095901,ABERNATHY ISD,2/13/2017 11:50 AM,N,655.325,74.125,6.329000000000001,0.0,0.0,0.0,0.0,60.0,34.906,430.88,0.02,20.23,0.0,66000.0,0.0,"($6,057)",($235),0.0,17528.0,13402.0,1.0,1.06,N,683451.0,3061892.0,1170.7480103,220275863.0,5744593.0,631905.0,6721174.0,1.17,539023294.0,284631.0,0.0,0.0,106180.0,0.0,0.0,5140.0,5359.0,6104980.0,1148.751,1171.2160000000001,"Adjusted Allotment:  LPE - $6,625   DPE - $6,625",0.0,179272.0,0.0,7595.0
221901,ABILENE ISD,2/13/2017 11:50 AM,N,14529.0,1682.4,221.0,20.0,0.0,0.0,0.0,605.0,785.0,11450.0,3.0,705.0,0.0,1090925.0,0.0,"($47,560)","($1,838)",0.0,1060203.0,385494.0,1.0,1.09,N,5405394.0,55239554.0,23640.226962,1951498523.0,44123906.0,0.0,45888862.0,1.04,4232453346.0,6040375.0,0.0,0.0,0.0,0.0,0.0,5140.0,5468.0,110440199.0,20445.352,,"Adjusted Allotment:  LPE - $5,468   DPE - $5,468",,0,,0
057814,ACADEMY FOR ACADEMIC EXCELLENCE,2/10/2017 12:41 PM,Y,354.968,205.071,4.125,4.121,0.0,0.0,0.0,10.537,0.0,0.0,0.0,67.587,0.0,98355.0,0.0,($0),($0),0.0,100074.0,43695.0,0.0,1.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181295.0,0.0,0.0,0.0,0.0,0.0,5050.0,5334.0,4090644.0,750.239,,"Adjusted Allotment:  LPE - $6,465   DPE - $6,465",,0,,0
014901,ACADEMY ISD,2/13/2017 11:50 AM,N,1203.365,63.354000000000006,42.0,0.0,0.0,0.0,0.0,86.04799999999999,65.0,525.0,0.0,52.0,0.0,104500.0,0.0,"($3,515)",($136),12581.0,140647.0,30196.0,0.9995,1.04,N,0.0,2871777.0,1151.223162,58743329.0,3319786.0,0.0,3454305.0,1.04,312766646.0,525323.0,0.0,0.0,0.0,0.0,0.0,5137.0,5283.0,9237994.0,1724.626,,"Adjusted Allotment:  LPE - $5,807   DPE - $5,807",,0,,0
101810,ACADEMY OF ACCELERATED LEARNING INC,2/10/2017 12:41 PM,Y,659.91,0.69,3.133,0.0,0.0,0.0,0.0,0.0,0.0,758.0,0.0,394.783,0.0,0.0,0.0,($0),($0),0.0,0.0,255227.0,0.0,1.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251254.0,0.0,0.0,0.0,0.0,0.0,5050.0,5334.0,5528380.0,1065.615,,"Adjusted Allotment:  LPE - $6,465   DPE - $6,465",,0,,0
015816,ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL,8/31/2016 7:36 AM,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($0),($0),0.0,0.0,0.0,0.0,1.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4990.0,5272.0,0.0,0.0,,"Adjusted Allotment:  LPE - $6,386   DPE - $6,386",,0,,0
057810,ACADEMY OF DALLAS,2/10/2017 12:41 PM,Y,353.39099999999996,47.288000000000004,8.553,0.0,0.0,0.0,0.0,0.0,0.0,667.17,0.0,57.062000000000005,0.0,0.0,0.0,($0),($0),0.0,0.0,36891.0,0.0,1.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174676.0,0.0,0.0,0.0,0.0,0.0,5050.0,5334.0,3550757.0,684.421,,"Adjusted Allotment:  LPE - $6,465   DPE - $6,465",,0,,0
101849,ACCELERATED INTERMEDIATE ACADEMY,2/10/2017 12:41 PM,Y,256.629,4.946000000000001,5.748000000000001,0.0,0.0,0.0,0.0,0.0,0.0,249.33,0.0,90.75500000000002,0.0,0.0,0.0,($0),($0),0.0,0.0,58673.0,0.0,1.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98864.0,0.0,0.0,0.0,0.0,0.0,5050.0,5334.0,2113016.0,407.29200000000003,,"Adjusted Allotment:  LPE - $6,465   DPE - $6,465",,0,,0
180903,ADRIAN ISD,2/13/2017 11:50 AM,N,130.0,16.704,0.558,0.0,0.0,0.0,0.0,9.0,5.0,80.0,0.19699999999999998,11.0,0.0,8800.0,0.0,"($1,194)",($47),0.0,65525.0,9050.0,0.9667,1.06,Y,82335.0,672182.0,211.88624519999996,27137144.0,904509.0,12444.0,973093.0,1.04,106236111.0,45990.0,0.0,0.0,25000.0,0.0,0.0,4969.0,5181.0,1534550.0,288.10400000000004,298.753,"Adjusted Allotment:  LPE - $8,227   DPE - $8,227",0.0,2259.0,0.0,97.0
057806,ADVANTAGE ACADEMY,2/10/2017 12:41 PM,Y,1476.45,39.526,51.918,0.0,0.0,0.0,0.0,40.07,43.0,1245.67,0.0,373.397,0.0,52921.0,0.0,($0),($0),0.0,0.0,241401.0,0.0,1.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655385.0,0.0,0.0,0.0,0.0,0.0,5050.0,5334.0,12458053.0,2391.134,,"Adjusted Allotment:  LPE - $6,465   DPE - $6,465",,0,,0
178901,AGUA DULCE ISD,2/13/2017 11:50 AM,N,337.473,31.259,0.15,0.0,0.0,0.0,0.0,29.439,14.854000000000001,241.92200000000005,0.0,1.6160000000000003,0.0,33018.0,0.0,"($1,701)",($66),0.0,15405.0,1147.0,1.0,1.07,N,317350.0,1375797.0,567.9628242,76789801.0,1453871.0,159926.0,1701029.0,1.17,151321133.0,137530.0,0.0,0.0,0.0,0.0,0.0,5140.0,5395.0,3304410.0,618.826,,"Adjusted Allotment:  LPE - $7,098   DPE - $7,098",,,,
